RunNumber,File,IdealDetector,Energy,DUT,Trigger,TriggerDevice,Threshold,TRGVbb,BackBiasVoltage,Temperature
416235414221016003845,run416235414221016003845.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B29.conf,120,AF15B_W22B29,External,AF25P_W22B7,150,4.8,0.0,20
416235415221016012342,run416235415221016012342.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B29.conf,120,AF15B_W22B29,External,AF25P_W22B7,150,4.8,2.4,20
416235416221016020849,run416235416221016020849.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B29.conf,120,AF15B_W22B29,External,AF25P_W22B7,150,4.8,3.6,20
416235417221016025310,run416235417221016025310.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B29.conf,120,AF15B_W22B29,External,AF25P_W22B7,150,4.8,4.8,20
416235418221016033736,run416235418221016033736.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B29.conf,120,AF15B_W22B29,External,AF25P_W22B7,150,4.8,1.2,20
416235419221016042157,run416235419221016042157.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B29.conf,120,AF15B_W22B29,External,AF25P_W22B7,150,4.8,0.0,20
416235420221016050604,run416235420221016050604.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B29.conf,120,AF15B_W22B29,External,AF25P_W22B7,150,4.8,2.4,20
416235421221016055100,run416235421221016055100.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B29.conf,120,AF15B_W22B29,External,AF25P_W22B7,150,4.8,3.6,20
416235422221016063527,run416235422221016063527.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B29.conf,120,AF15B_W22B29,External,AF25P_W22B7,150,4.8,4.8,20
417091230221016091235,run417091230221016091235.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B29.conf,120,AF15B_W22B29,External,AF25P_W22B7,115,1.2,1.2,20
417112916221016113103,run417112916221016113103.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B29.conf,120,AF15B_W22B29,External,AF25P_W22B7,115,1.2,0.0,20
417165943221016165948,run417165943221016165948.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B4.conf,120,AF15B_W22B4,External,AF25P_W22B7,115,1.2,1.2,16	
417165944221016180026,run417165944221016180026.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B4.conf,120,AF15B_W22B4,External,AF25P_W22B7,115,1.2,0.0,16	
417165945221016183433,run417165945221016183433.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B4.conf,120,AF15B_W22B4,External,AF25P_W22B7,115,1.2,2.4,16	
417165946221016185948,run417165946221016185948.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15B_W22B4.conf,120,AF15B_W22B4,External,AF25P_W22B7,115,1.2,3.6,16
417121457221016121502,run417121457221016121502.raw,2022-10_SPS-3REF-2APTSSF-3REF-B1-AF15P_W22B34.conf,120,AF15P_W22B34,External,AF25P_W22B7,115,1.2,1.2,16
