RunNumber,IdealDetector,DUT,Vbb,Ireset,Irrad
206133002230520144744,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B58.conf,AF20P_W22B58,1.2,1,1.00E+15
206133003230520155421,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B58.conf,AF20P_W22B58,0.0,1,1.00E+15
206133004230520165952,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B58.conf,AF20P_W22B58,1.2,1,1.00E+15
206133007230520180316,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF20P_W22B58.conf,AF20P_W22B58,4.8,1,1.00E+15
206202944230520202958,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B61.conf,AF25P_W22B61,0.0,1,1.00E+15
206202945230520213956,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B61.conf,AF25P_W22B61,1.2,1,1.00E+15
206202948230520222439,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B61.conf,AF25P_W22B61,4.8,1,1.00E+15
206202949230520231323,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B61.conf,AF25P_W22B61,0.0,1,1.00E+15
206202950230521003051,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B61.conf,AF25P_W22B61,1.2,1,1.00E+15
206202953230521024923,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B61.conf,AF25P_W22B61,4.8,1,1.00E+15
207090837230521090947,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF25P_W22B61.conf,AF25P_W22B61,4.8,1,1.00E+15
207104607230521104622,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF15P_W22B11.conf,AF15P_W22B11,0.0,1,1.00E+14
207104608230521115019,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF15P_W22B11.conf,AF15P_W22B11,1.2,1,1.00E+14
207134922230521134937,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF15P_W22B8.conf,AF15P_W22B8,0.0,1,1.00E+13
207134923230521144602,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF15P_W22B8.conf,AF15P_W22B8,1.2,1,1.00E+13
207164404230521164418,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B59.conf,AF10P_W22B59,0.0,1,1.00E+15
207164405230521172553,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B59.conf,AF10P_W22B59,1.2,1,1.00E+15
207164406230521180318,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B59.conf,AF10P_W22B59,0.0,1,1.00E+15
207164407230521203000,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B59.conf,AF10P_W22B59,1.2,1,1.00E+15
207164410230521205957,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B59.conf,AF10P_W22B59,4.8,1,1.00E+15
207164411230521212557,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B59.conf,AF10P_W22B59,4.8,1,1.00E+15
207224811230521224825,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,0.0,2.5,2.00E+15
207224812230521232150,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,1.2,2.5,2.00E+15
207224813230521235015,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,0.0,2.5,2.00E+15
207224814230522001510,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,1.2,2.5,2.00E+15
207224817230522004210,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,4.8,2.5,2.00E+15
207224818230522010626,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,4.8,2.5,2.00E+15
207224819230522013110,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,0.0,2.5,2.00E+15
207224820230522021000,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,1.2,2.5,2.00E+15
207224821230522030156,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,0.0,2.5,2.00E+15
207224822230522041047,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,1.2,2.5,2.00E+15
207224825230522044021,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,4.8,2.5,2.00E+15
207224826230522050616,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,4.8,2.5,2.00E+15
207224827230522053130,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,0.0,1,2.00E+15
207224828230522055656,2023-05_SPS-3REF-2APTSSF-3REF-B1-AF10P_W22B60.conf,AF10P_W22B60,1.2,1,2.00E+15
